% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.954579854e+08 +5.954579854e+08 +5.954573643e+08 +5.954573643e+08 +7.0284e-01 +3.3164e-01 +5.1198e-01 +8.1219e-01 +3.5490e-01 +9.2960e-01 +8.7039e-01 +3.3085e-01 +4.0262e-01 +3.5337e-01 +5.7749e-01 +3.6533e-01 +6.6595e-01 +3.7779e-03 +3.6679e-01 +2.5655e-01 +3.9902e-01 +7.7311e-01 +5.7917e-02 +2.3893e-01
2 +3.461680782e+08 +3.461680782e+08 +3.461674571e+08 +3.461674571e+08 +3.9699e-01 +3.2728e-01 +9.4851e-01 +4.2103e-01 +1.0229e-01 +8.2601e-01 +9.9117e-02 +8.9798e-01 +9.6428e-02 +9.1184e-01 +2.1809e-01 +6.9523e-01 +8.9037e-01 +1.0633e-01 +5.7891e-01 +2.8642e-01 +8.8662e-01 +5.1815e-01 +9.2871e-01 +8.8957e-01
8 +2.087464400e+08 +2.087464400e+08 +2.087458189e+08 +2.087458189e+08 +4.7203e-01 +9.3265e-01 +2.8951e-02 +1.1103e-01 +1.1108e-01 +2.4252e-01 +8.2028e-02 +1.1601e-01 +1.5519e-01 +2.4534e-01 +1.3481e-01 +4.2181e-01 +5.6153e-01 +9.7272e-01 +3.7316e-01 +6.7902e-02 +3.4185e-02 +1.7988e-01 +1.1090e-02 +4.4160e-01
64 +1.503885663e+08 +1.503885663e+08 +1.503879452e+08 +1.503879452e+08 +0.0000e+00 +1.0000e+00 +0.0000e+00 +2.3253e-01 +0.0000e+00 +0.0000e+00 +8.2206e-01 +1.0000e+00 +0.0000e+00 +4.7749e-01 +9.6388e-01 +6.6311e-01 +8.8048e-01 +1.0000e+00 +6.8440e-01 +1.1953e-01 +1.0000e+00 +0.0000e+00 +1.0000e+00 +5.5308e-01
266 +9.948146112e+07 +9.948146112e+07 +9.948084001e+07 +9.948084001e+07 +5.4131e-02 +9.7842e-01 +3.0978e-02 +9.1093e-03 +6.5273e-02 +2.1963e-03 +8.3682e-03 +8.7030e-01 +9.1848e-01 +8.9650e-01 +0.0000e+00 +9.5328e-01 +1.0000e+00 +1.0000e+00 +9.4587e-01 +1.4281e-01 +8.0831e-01 +6.7998e-01 +9.7226e-01 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.987248722e+08 +4.987248722e+08 +4.987246173e+08 +4.987246173e+08 +3.8854e-01 +9.8174e-01 +5.4419e-01 +8.6331e-01 +2.0212e-01 +1.5394e-01 +1.3273e-01 +4.5881e-01 +7.8631e-01 +2.4136e-01 +6.6908e-01 +5.1450e-01 +9.2271e-01 +1.2426e-01 +2.9349e-01 +7.0280e-01 +5.1058e-01 +7.3275e-01 +3.4306e-01 +2.1213e-01
30 +3.475797339e+08 +3.475797339e+08 +3.475794791e+08 +3.475794791e+08 +1.0000e+00 +8.5841e-01 +4.6873e-01 +2.5062e-01 +7.1109e-02 +4.7879e-01 +2.5058e-01 +1.0000e+00 +7.2246e-01 +0.0000e+00 +6.4524e-01 +1.0000e+00 +6.9785e-01 +2.7133e-01 +1.1344e-01 +5.1724e-01 +1.0000e+00 +6.2882e-01 +1.0239e-01 +4.6924e-01
174 +2.473345571e+08 +2.473345571e+08 +2.473343023e+08 +2.473343023e+08 +9.5595e-01 +8.8542e-01 +1.0000e+00 +2.2861e-01 +0.0000e+00 +1.6816e-01 +1.8143e-01 +1.0000e+00 +2.7472e-02 +9.9398e-01 +1.0000e+00 +5.7277e-01 +1.0000e+00 +0.0000e+00 +0.0000e+00 +2.7215e-01 +9.9760e-01 +1.2493e-01 +1.1082e-01 +9.1066e-01
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
