% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.193065379e+04 +4.193065379e+04 +4.207980379e+04 +4.207980379e+04 +9.4650e-01 +3.0803e-01 +9.9378e-01 +8.5365e-01 +1.6409e-01 +7.8627e-01 +3.6389e-01 +1.3140e-01 +4.2724e-01 +3.0523e-01 +6.9980e-01 +1.6017e-01 +9.4364e-01 +4.1158e-01 +1.5716e-01 +3.5821e-01 +4.5558e-01 +6.6275e-01 +2.5410e-01 +7.6978e-01
28 +3.872964743e+04 +3.872964743e+04 +3.887879743e+04 +3.887879743e+04 +3.5177e-01 +3.4113e-01 +5.8106e-01 +2.2228e-01 +3.0911e-01 +2.1382e-01 +8.0321e-01 +2.3855e-02 +6.7986e-01 +6.3939e-01 +1.6582e-01 +2.9087e-01 +9.6021e-01 +3.2826e-01 +3.8105e-01 +2.3818e-02 +6.7004e-01 +3.0043e-01 +5.2555e-01 +7.7808e-01
73 +2.482549799e+04 +2.482549799e+04 +2.497464799e+04 +2.497464799e+04 +0.0000e+00 +0.0000e+00 +2.7638e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +1.1218e-01 +0.0000e+00 +8.5602e-01 +2.7682e-02 +0.0000e+00 +7.6739e-01 +9.1964e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +6.2612e-01 +0.0000e+00 +0.0000e+00 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.254056708e+05 +1.254056708e+05 +1.244056708e+05 +1.244056708e+05 +8.1581e-02 +8.9375e-01 +1.9721e-02 +4.7035e-01 +6.7209e-01 +2.0407e-01 +8.0748e-01 +7.1197e-01 +4.1432e-01 +9.2045e-01 +2.7296e-01 +2.4163e-01 +8.5836e-01 +1.2375e-01 +1.7991e-01 +9.5380e-01 +2.4621e-01 +5.2014e-01 +9.4514e-01 +9.2300e-01
36 +9.891338083e+04 +9.891338083e+04 +9.791338083e+04 +9.791338083e+04 +2.1407e-01 +3.8324e-01 +5.7034e-01 +2.5614e-01 +3.6223e-01 +4.3180e-01 +1.1652e-01 +4.7387e-01 +5.1331e-01 +5.8483e-01 +5.5346e-01 +1.4375e-01 +5.7532e-01 +2.1850e-01 +5.4496e-01 +5.6625e-01 +6.9384e-01 +2.4931e-01 +2.8560e-01 +5.4174e-01
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.327642332e+05 +1.327642332e+05 +1.328628532e+05 +1.328628532e+05 +9.9809e-01 +5.2554e-01 +8.1152e-01 +3.6863e-01 +8.0735e-01 +1.9595e-01 +1.4708e-01 +3.9967e-01 +5.9326e-01 +8.7257e-02 +3.0463e-02 +3.1073e-01 +1.8057e-03 +6.0269e-01 +2.0713e-01 +1.0689e-02 +4.3368e-01 +4.1076e-01 +6.5358e-01 +7.4125e-01
31 +9.959176256e+04 +9.959176256e+04 +9.969038256e+04 +9.969038256e+04 +1.9042e-01 +0.0000e+00 +3.5590e-01 +3.4640e-01 +8.1391e-01 +7.8207e-01 +3.7242e-01 +0.0000e+00 +1.5389e-01 +2.8984e-01 +9.7946e-01 +6.8767e-01 +5.7391e-01 +0.0000e+00 +3.2648e-01 +0.0000e+00 +2.2751e-01 +8.3066e-01 +6.6789e-01 +7.3782e-01
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.424596151e+05 +1.424596151e+05 +1.424124651e+05 +1.424124651e+05 +1.7497e-01 +1.8552e-01 +5.2014e-01 +3.1994e-01 +3.4612e-01 +1.8606e-01 +1.6925e-02 +9.4999e-01 +2.7238e-01 +8.7642e-01 +3.6912e-01 +8.2168e-01 +5.4100e-01 +6.9610e-01 +6.3293e-03 +9.5865e-01 +8.9437e-01 +4.9612e-01 +4.3667e-01 +6.4100e-01
42 +9.880827775e+04 +9.880827775e+04 +9.876112775e+04 +9.876112775e+04 +2.4509e-01 +8.7769e-01 +6.2608e-01 +0.0000e+00 +1.0000e+00 +2.1612e-01 +3.1893e-01 +3.2282e-01 +1.7180e-01 +1.3148e-01 +6.1848e-01 +5.9891e-01 +7.7498e-01 +7.1079e-01 +5.8498e-01 +3.9888e-01 +4.8001e-01 +9.6234e-02 +2.9271e-01 +9.3212e-01
304 +6.304349890e+04 +6.304349890e+04 +6.299634890e+04 +6.299634890e+04 +5.2081e-02 +9.7169e-05 +2.7998e-01 +1.7991e-02 +8.3038e-01 +4.4232e-02 +0.0000e+00 +0.0000e+00 +1.1590e-01 +0.0000e+00 +1.0000e+00 +0.0000e+00 +4.0849e-02 +1.0778e-03 +9.8230e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +9.9249e-01 +8.8437e-01
% function evaluation | noise-free fitness - Fopt (3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.202321010e+04 +8.202321010e+04 +8.206073010e+04 +8.206073010e+04 +2.3561e-01 +6.9771e-01 +2.6696e-01 +9.3420e-01 +4.9304e-01 +4.0136e-01 +2.6705e-01 +6.7378e-01 +8.8104e-03 +5.6907e-01 +9.3971e-01 +9.7219e-01 +2.6831e-04 +6.3734e-01 +7.5307e-01 +7.1502e-01 +9.2217e-01 +9.7751e-01 +8.2120e-01 +4.0985e-01
2 +6.004471801e+04 +6.004471801e+04 +6.008223801e+04 +6.008223801e+04 +1.6675e-01 +7.0886e-01 +1.0272e-01 +4.5601e-01 +8.0553e-01 +9.3842e-01 +7.8650e-01 +1.5969e-01 +2.0855e-01 +7.0230e-01 +8.2877e-01 +6.6622e-02 +3.0439e-01 +4.6704e-01 +1.2518e-01 +4.4647e-01 +7.0597e-01 +4.3009e-01 +4.6659e-01 +2.7793e-02
55 +3.782657383e+04 +3.782657383e+04 +3.786409383e+04 +3.786409383e+04 +4.3429e-01 +0.0000e+00 +9.8328e-02 +0.0000e+00 +4.7602e-01 +5.0000e-01 +4.1088e-01 +4.2599e-01 +4.9362e-01 +4.9127e-01 +6.6413e-01 +2.7946e-01 +6.7682e-01 +8.4487e-01 +8.2556e-01 +7.9706e-02 +1.3324e-02 +0.0000e+00 +5.0000e-01 +1.9680e-01
% function evaluation | noise-free fitness - Fopt (-2.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.126955773e+05 +1.126955773e+05 +1.126657773e+05 +1.126657773e+05 +9.2492e-01 +9.4534e-01 +6.9889e-01 +1.6394e-01 +3.5081e-01 +9.2311e-01 +1.5376e-01 +3.6919e-01 +6.6798e-01 +7.8155e-01 +1.2640e-01 +9.8975e-01 +6.4425e-01 +2.2443e-01 +8.2557e-02 +3.2096e-01 +4.6215e-02 +1.5766e-01 +5.3702e-01 +9.1679e-01
